s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,0.0,-0.8734918639447093,121.00000000000003,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,0.0,-0.8734918639447093,157.00000000000003,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,0.0,-0.8734918639447093,102.99999999999999,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,0.0,-0.8734918639447093,94.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,0.0,-0.8734918639447093,124.00000000000004,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,0.0,-0.8734918639447093,127.99999999999997,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,5.0,-0.9384556081496455,635.0000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8250605616479761,117.00000000000004,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,110.99999999999996,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,102.99999999999999,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,0.0,-0.8734918639447093,84.00000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440/result1
